id,name,set,rarity,image_url
sv3pt5-1,Bulbasaur,151,Common,151_images/151/Bulbasaur_sv3pt5-1.jpg
sv3pt5-2,Ivysaur,151,Uncommon,151_images/151/Ivysaur_sv3pt5-2.jpg
sv3pt5-3,Venusaur ex,151,Double Rare,151_images/151/Venusaur ex_sv3pt5-3.jpg
sv3pt5-4,Charmander,151,Common,151_images/151/Charmander_sv3pt5-4.jpg
sv3pt5-5,Charmeleon,151,Uncommon,151_images/151/Charmeleon_sv3pt5-5.jpg
sv3pt5-6,Charizard ex,151,Double Rare,151_images/151/Charizard ex_sv3pt5-6.jpg
sv3pt5-7,Squirtle,151,Common,151_images/151/Squirtle_sv3pt5-7.jpg
sv3pt5-8,Wartortle,151,Uncommon,151_images/151/Wartortle_sv3pt5-8.jpg
sv3pt5-9,Blastoise ex,151,Double Rare,151_images/151/Blastoise ex_sv3pt5-9.jpg
sv3pt5-10,Caterpie,151,Common,151_images/151/Caterpie_sv3pt5-10.jpg
sv3pt5-11,Metapod,151,Common,151_images/151/Metapod_sv3pt5-11.jpg
sv3pt5-12,Butterfree,151,Uncommon,151_images/151/Butterfree_sv3pt5-12.jpg
sv3pt5-13,Weedle,151,Common,151_images/151/Weedle_sv3pt5-13.jpg
sv3pt5-14,Kakuna,151,Common,151_images/151/Kakuna_sv3pt5-14.jpg
sv3pt5-15,Beedrill,151,Rare,151_images/151/Beedrill_sv3pt5-15.jpg
sv3pt5-16,Pidgey,151,Common,151_images/151/Pidgey_sv3pt5-16.jpg
sv3pt5-17,Pidgeotto,151,Common,151_images/151/Pidgeotto_sv3pt5-17.jpg
sv3pt5-18,Pidgeot,151,Uncommon,151_images/151/Pidgeot_sv3pt5-18.jpg
sv3pt5-19,Rattata,151,Common,151_images/151/Rattata_sv3pt5-19.jpg
sv3pt5-20,Raticate,151,Uncommon,151_images/151/Raticate_sv3pt5-20.jpg
sv3pt5-21,Spearow,151,Common,151_images/151/Spearow_sv3pt5-21.jpg
sv3pt5-22,Fearow,151,Uncommon,151_images/151/Fearow_sv3pt5-22.jpg
sv3pt5-23,Ekans,151,Common,151_images/151/Ekans_sv3pt5-23.jpg
sv3pt5-24,Arbok ex,151,Double Rare,151_images/151/Arbok ex_sv3pt5-24.jpg
sv3pt5-25,Pikachu,151,Common,151_images/151/Pikachu_sv3pt5-25.jpg
sv3pt5-26,Raichu,151,Rare,151_images/151/Raichu_sv3pt5-26.jpg
sv3pt5-27,Sandshrew,151,Common,151_images/151/Sandshrew_sv3pt5-27.jpg
sv3pt5-28,Sandslash,151,Uncommon,151_images/151/Sandslash_sv3pt5-28.jpg
sv3pt5-29,Nidoran ♀,151,Common,151_images/151/Nidoran ♀_sv3pt5-29.jpg
sv3pt5-30,Nidorina,151,Uncommon,151_images/151/Nidorina_sv3pt5-30.jpg
sv3pt5-31,Nidoqueen,151,Uncommon,151_images/151/Nidoqueen_sv3pt5-31.jpg
sv3pt5-32,Nidoran ♂,151,Common,151_images/151/Nidoran ♂_sv3pt5-32.jpg
sv3pt5-33,Nidorino,151,Uncommon,151_images/151/Nidorino_sv3pt5-33.jpg
sv3pt5-34,Nidoking,151,Rare,151_images/151/Nidoking_sv3pt5-34.jpg
sv3pt5-35,Clefairy,151,Common,151_images/151/Clefairy_sv3pt5-35.jpg
sv3pt5-36,Clefable,151,Uncommon,151_images/151/Clefable_sv3pt5-36.jpg
sv3pt5-37,Vulpix,151,Common,151_images/151/Vulpix_sv3pt5-37.jpg
sv3pt5-38,Ninetales ex,151,Double Rare,151_images/151/Ninetales ex_sv3pt5-38.jpg
sv3pt5-39,Jigglypuff,151,Common,151_images/151/Jigglypuff_sv3pt5-39.jpg
sv3pt5-40,Wigglytuff ex,151,Double Rare,151_images/151/Wigglytuff ex_sv3pt5-40.jpg
sv3pt5-41,Zubat,151,Common,151_images/151/Zubat_sv3pt5-41.jpg
sv3pt5-42,Golbat,151,Uncommon,151_images/151/Golbat_sv3pt5-42.jpg
sv3pt5-43,Oddish,151,Common,151_images/151/Oddish_sv3pt5-43.jpg
sv3pt5-44,Gloom,151,Uncommon,151_images/151/Gloom_sv3pt5-44.jpg
sv3pt5-45,Vileplume,151,Rare,151_images/151/Vileplume_sv3pt5-45.jpg
sv3pt5-46,Paras,151,Common,151_images/151/Paras_sv3pt5-46.jpg
sv3pt5-47,Parasect,151,Uncommon,151_images/151/Parasect_sv3pt5-47.jpg
sv3pt5-48,Venonat,151,Common,151_images/151/Venonat_sv3pt5-48.jpg
sv3pt5-49,Venomoth,151,Uncommon,151_images/151/Venomoth_sv3pt5-49.jpg
sv3pt5-50,Diglett,151,Common,151_images/151/Diglett_sv3pt5-50.jpg
sv3pt5-51,Dugtrio,151,Uncommon,151_images/151/Dugtrio_sv3pt5-51.jpg
sv3pt5-52,Meowth,151,Common,151_images/151/Meowth_sv3pt5-52.jpg
sv3pt5-53,Persian,151,Uncommon,151_images/151/Persian_sv3pt5-53.jpg
sv3pt5-54,Psyduck,151,Common,151_images/151/Psyduck_sv3pt5-54.jpg
sv3pt5-55,Golduck,151,Uncommon,151_images/151/Golduck_sv3pt5-55.jpg
sv3pt5-56,Mankey,151,Common,151_images/151/Mankey_sv3pt5-56.jpg
sv3pt5-57,Primeape,151,Uncommon,151_images/151/Primeape_sv3pt5-57.jpg
sv3pt5-58,Growlithe,151,Common,151_images/151/Growlithe_sv3pt5-58.jpg
sv3pt5-59,Arcanine,151,Uncommon,151_images/151/Arcanine_sv3pt5-59.jpg
sv3pt5-60,Poliwag,151,Common,151_images/151/Poliwag_sv3pt5-60.jpg
sv3pt5-61,Poliwhirl,151,Common,151_images/151/Poliwhirl_sv3pt5-61.jpg
sv3pt5-62,Poliwrath,151,Uncommon,151_images/151/Poliwrath_sv3pt5-62.jpg
sv3pt5-63,Abra,151,Common,151_images/151/Abra_sv3pt5-63.jpg
sv3pt5-64,Kadabra,151,Uncommon,151_images/151/Kadabra_sv3pt5-64.jpg
sv3pt5-65,Alakazam ex,151,Double Rare,151_images/151/Alakazam ex_sv3pt5-65.jpg
sv3pt5-66,Machop,151,Common,151_images/151/Machop_sv3pt5-66.jpg
sv3pt5-67,Machoke,151,Uncommon,151_images/151/Machoke_sv3pt5-67.jpg
sv3pt5-68,Machamp,151,Rare,151_images/151/Machamp_sv3pt5-68.jpg
sv3pt5-69,Bellsprout,151,Common,151_images/151/Bellsprout_sv3pt5-69.jpg
sv3pt5-70,Weepinbell,151,Common,151_images/151/Weepinbell_sv3pt5-70.jpg
sv3pt5-71,Victreebel,151,Uncommon,151_images/151/Victreebel_sv3pt5-71.jpg
sv3pt5-72,Tentacool,151,Common,151_images/151/Tentacool_sv3pt5-72.jpg
sv3pt5-73,Tentacruel,151,Uncommon,151_images/151/Tentacruel_sv3pt5-73.jpg
sv3pt5-74,Geodude,151,Common,151_images/151/Geodude_sv3pt5-74.jpg
sv3pt5-75,Graveler,151,Uncommon,151_images/151/Graveler_sv3pt5-75.jpg
sv3pt5-76,Golem ex,151,Double Rare,151_images/151/Golem ex_sv3pt5-76.jpg
sv3pt5-77,Ponyta,151,Common,151_images/151/Ponyta_sv3pt5-77.jpg
sv3pt5-78,Rapidash,151,Uncommon,151_images/151/Rapidash_sv3pt5-78.jpg
