id,name,set,rarity,image_url
base1-1,Alakazam,Base,Rare Holo,151_images/Base/Alakazam_base1-1.jpg
base1-2,Blastoise,Base,Rare Holo,151_images/Base/Blastoise_base1-2.jpg
base1-3,Chansey,Base,Rare Holo,151_images/Base/Chansey_base1-3.jpg
base1-4,Charizard,Base,Rare Holo,151_images/Base/Charizard_base1-4.jpg
base1-5,Clefairy,Base,Rare Holo,151_images/Base/Clefairy_base1-5.jpg
base1-6,Gyarados,Base,Rare Holo,151_images/Base/Gyarados_base1-6.jpg
base1-7,Hitmonchan,Base,Rare Holo,151_images/Base/Hitmonchan_base1-7.jpg
base1-8,Machamp,Base,Rare Holo,151_images/Base/Machamp_base1-8.jpg
base1-9,Magneton,Base,Rare Holo,151_images/Base/Magneton_base1-9.jpg
base1-10,Mewtwo,Base,Rare Holo,151_images/Base/Mewtwo_base1-10.jpg
base1-11,Nidoking,Base,Rare Holo,151_images/Base/Nidoking_base1-11.jpg
base1-12,Ninetales,Base,Rare Holo,151_images/Base/Ninetales_base1-12.jpg
base1-13,Poliwrath,Base,Rare Holo,151_images/Base/Poliwrath_base1-13.jpg
base1-14,Raichu,Base,Rare Holo,151_images/Base/Raichu_base1-14.jpg
base1-15,Venusaur,Base,Rare Holo,151_images/Base/Venusaur_base1-15.jpg
base1-16,Zapdos,Base,Rare Holo,151_images/Base/Zapdos_base1-16.jpg
base1-17,Beedrill,Base,Rare,151_images/Base/Beedrill_base1-17.jpg
base1-18,Dragonair,Base,Rare,151_images/Base/Dragonair_base1-18.jpg
base1-19,Dugtrio,Base,Rare,151_images/Base/Dugtrio_base1-19.jpg
base1-20,Electabuzz,Base,Rare,151_images/Base/Electabuzz_base1-20.jpg
base1-21,Electrode,Base,Rare,151_images/Base/Electrode_base1-21.jpg
base1-22,Pidgeotto,Base,Rare,151_images/Base/Pidgeotto_base1-22.jpg
base1-23,Arcanine,Base,Uncommon,151_images/Base/Arcanine_base1-23.jpg
base1-24,Charmeleon,Base,Uncommon,151_images/Base/Charmeleon_base1-24.jpg
base1-25,Dewgong,Base,Uncommon,151_images/Base/Dewgong_base1-25.jpg
base1-26,Dratini,Base,Uncommon,151_images/Base/Dratini_base1-26.jpg
base1-27,Farfetch'd,Base,Uncommon,151_images/Base/Farfetch_d_base1-27.jpg
base1-28,Growlithe,Base,Uncommon,151_images/Base/Growlithe_base1-28.jpg
base1-29,Haunter,Base,Uncommon,151_images/Base/Haunter_base1-29.jpg
base1-30,Ivysaur,Base,Uncommon,151_images/Base/Ivysaur_base1-30.jpg
base1-31,Jynx,Base,Uncommon,151_images/Base/Jynx_base1-31.jpg
base1-32,Kadabra,Base,Uncommon,151_images/Base/Kadabra_base1-32.jpg
base1-33,Kakuna,Base,Uncommon,151_images/Base/Kakuna_base1-33.jpg
base1-34,Machoke,Base,Uncommon,151_images/Base/Machoke_base1-34.jpg
base1-35,Magikarp,Base,Uncommon,151_images/Base/Magikarp_base1-35.jpg
base1-36,Magmar,Base,Uncommon,151_images/Base/Magmar_base1-36.jpg
base1-37,Nidorino,Base,Uncommon,151_images/Base/Nidorino_base1-37.jpg
base1-38,Poliwhirl,Base,Uncommon,151_images/Base/Poliwhirl_base1-38.jpg
base1-39,Porygon,Base,Uncommon,151_images/Base/Porygon_base1-39.jpg
base1-40,Raticate,Base,Uncommon,151_images/Base/Raticate_base1-40.jpg
base1-41,Seel,Base,Uncommon,151_images/Base/Seel_base1-41.jpg
base1-42,Wartortle,Base,Uncommon,151_images/Base/Wartortle_base1-42.jpg
base1-43,Abra,Base,Common,151_images/Base/Abra_base1-43.jpg
