id,name,set,rarity,image_url
base3-1,Aerodactyl,Fossil,Rare Holo,151_images/Fossil/Aerodactyl_base3-1.jpg
base3-2,Articuno,Fossil,Rare Holo,151_images/Fossil/Articuno_base3-2.jpg
base3-3,Ditto,Fossil,Rare Holo,151_images/Fossil/Ditto_base3-3.jpg
base3-4,Dragonite,Fossil,Rare Holo,151_images/Fossil/Dragonite_base3-4.jpg
base3-5,Gengar,Fossil,Rare Holo,151_images/Fossil/Gengar_base3-5.jpg
base3-6,Haunter,Fossil,Rare Holo,151_images/Fossil/Haunter_base3-6.jpg
base3-7,Hitmonlee,Fossil,Rare Holo,151_images/Fossil/Hitmonlee_base3-7.jpg
base3-8,Hypno,Fossil,Rare Holo,151_images/Fossil/Hypno_base3-8.jpg
base3-9,Kabutops,Fossil,Rare Holo,151_images/Fossil/Kabutops_base3-9.jpg
base3-10,Lapras,Fossil,Rare Holo,151_images/Fossil/Lapras_base3-10.jpg
base3-11,Magneton,Fossil,Rare Holo,151_images/Fossil/Magneton_base3-11.jpg
base3-12,Moltres,Fossil,Rare Holo,151_images/Fossil/Moltres_base3-12.jpg
base3-13,Muk,Fossil,Rare Holo,151_images/Fossil/Muk_base3-13.jpg
base3-14,Raichu,Fossil,Rare Holo,151_images/Fossil/Raichu_base3-14.jpg
base3-15,Zapdos,Fossil,Rare Holo,151_images/Fossil/Zapdos_base3-15.jpg
base3-16,Aerodactyl,Fossil,Rare,151_images/Fossil/Aerodactyl_base3-16.jpg
base3-17,Articuno,Fossil,Rare,151_images/Fossil/Articuno_base3-17.jpg
base3-18,Ditto,Fossil,Rare,151_images/Fossil/Ditto_base3-18.jpg
base3-19,Dragonite,Fossil,Rare,151_images/Fossil/Dragonite_base3-19.jpg
base3-20,Gengar,Fossil,Rare,151_images/Fossil/Gengar_base3-20.jpg
base3-21,Haunter,Fossil,Rare,151_images/Fossil/Haunter_base3-21.jpg
base3-22,Hitmonlee,Fossil,Rare,151_images/Fossil/Hitmonlee_base3-22.jpg
base3-23,Hypno,Fossil,Rare,151_images/Fossil/Hypno_base3-23.jpg
base3-24,Kabutops,Fossil,Rare,151_images/Fossil/Kabutops_base3-24.jpg
base3-25,Lapras,Fossil,Rare,151_images/Fossil/Lapras_base3-25.jpg
base3-26,Magneton,Fossil,Rare,151_images/Fossil/Magneton_base3-26.jpg
base3-27,Moltres,Fossil,Rare,151_images/Fossil/Moltres_base3-27.jpg
base3-28,Muk,Fossil,Rare,151_images/Fossil/Muk_base3-28.jpg
base3-29,Raichu,Fossil,Rare,151_images/Fossil/Raichu_base3-29.jpg
base3-30,Zapdos,Fossil,Rare,151_images/Fossil/Zapdos_base3-30.jpg
base3-31,Arbok,Fossil,Uncommon,151_images/Fossil/Arbok_base3-31.jpg
base3-32,Cloyster,Fossil,Uncommon,151_images/Fossil/Cloyster_base3-32.jpg
base3-33,Gastly,Fossil,Uncommon,151_images/Fossil/Gastly_base3-33.jpg
base3-34,Golbat,Fossil,Uncommon,151_images/Fossil/Golbat_base3-34.jpg
base3-35,Golduck,Fossil,Uncommon,151_images/Fossil/Golduck_base3-35.jpg
base3-36,Golem,Fossil,Uncommon,151_images/Fossil/Golem_base3-36.jpg
base3-37,Graveler,Fossil,Uncommon,151_images/Fossil/Graveler_base3-37.jpg
base3-38,Kingler,Fossil,Uncommon,151_images/Fossil/Kingler_base3-38.jpg
base3-39,Magmar,Fossil,Uncommon,151_images/Fossil/Magmar_base3-39.jpg
base3-40,Omastar,Fossil,Uncommon,151_images/Fossil/Omastar_base3-40.jpg
base3-41,Sandslash,Fossil,Uncommon,151_images/Fossil/Sandslash_base3-41.jpg
base3-42,Seadra,Fossil,Uncommon,151_images/Fossil/Seadra_base3-42.jpg
base3-43,Slowbro,Fossil,Uncommon,151_images/Fossil/Slowbro_base3-43.jpg
base3-44,Tentacruel,Fossil,Uncommon,151_images/Fossil/Tentacruel_base3-44.jpg
base3-45,Weezing,Fossil,Uncommon,151_images/Fossil/Weezing_base3-45.jpg
base3-46,Ekans,Fossil,Common,151_images/Fossil/Ekans_base3-46.jpg
base3-47,Geodude,Fossil,Common,151_images/Fossil/Geodude_base3-47.jpg
base3-48,Grimer,Fossil,Common,151_images/Fossil/Grimer_base3-48.jpg
base3-49,Horsea,Fossil,Common,151_images/Fossil/Horsea_base3-49.jpg
base3-50,Kabuto,Fossil,Common,151_images/Fossil/Kabuto_base3-50.jpg
base3-51,Krabby,Fossil,Common,151_images/Fossil/Krabby_base3-51.jpg
base3-52,Omanyte,Fossil,Common,151_images/Fossil/Omanyte_base3-52.jpg
base3-53,Psyduck,Fossil,Common,151_images/Fossil/Psyduck_base3-53.jpg
base3-54,Shellder,Fossil,Common,151_images/Fossil/Shellder_base3-54.jpg
base3-55,Slowpoke,Fossil,Common,151_images/Fossil/Slowpoke_base3-55.jpg
base3-56,Tentacool,Fossil,Common,151_images/Fossil/Tentacool_base3-56.jpg
base3-57,Zubat,Fossil,Common,151_images/Fossil/Zubat_base3-57.jpg
base3-58,Mr. Fuji,Fossil,Uncommon,151_images/Fossil/Mr. Fuji_base3-58.jpg
base3-59,Energy Search,Fossil,Common,151_images/Fossil/Energy Search_base3-59.jpg
base3-60,Gambler,Fossil,Common,151_images/Fossil/Gambler_base3-60.jpg
base3-61,Recycle,Fossil,Common,151_images/Fossil/Recycle_base3-61.jpg
base3-62,Mysterious Fossil,Fossil,Common,151_images/Fossil/Mysterious Fossil_base3-62.jpg
