id,name,set,rarity,image_url
base2-1,Clefable,Jungle,Rare Holo,151_images/Jungle/Clefable_base2-1.jpg
base2-2,Electrode,Jungle,Rare Holo,151_images/Jungle/Electrode_base2-2.jpg
base2-3,Flareon,Jungle,Rare Holo,151_images/Jungle/Flareon_base2-3.jpg
base2-4,Jolteon,Jungle,Rare Holo,151_images/Jungle/Jolteon_base2-4.jpg
base2-5,Kangaskhan,Jungle,Rare Holo,151_images/Jungle/Kangaskhan_base2-5.jpg
base2-6,Mr. Mime,Jungle,Rare Holo,151_images/Jungle/Mr. Mime_base2-6.jpg
base2-7,Nidoqueen,Jungle,Rare Holo,151_images/Jungle/Nidoqueen_base2-7.jpg
base2-8,Pidgeot,Jungle,Rare Holo,151_images/Jungle/Pidgeot_base2-8.jpg
base2-9,Pinsir,Jungle,Rare Holo,151_images/Jungle/Pinsir_base2-9.jpg
base2-10,Scyther,Jungle,Rare Holo,151_images/Jungle/Scyther_base2-10.jpg
base2-11,Snorlax,Jungle,Rare Holo,151_images/Jungle/Snorlax_base2-11.jpg
base2-12,Vaporeon,Jungle,Rare Holo,151_images/Jungle/Vaporeon_base2-12.jpg
base2-13,Venomoth,Jungle,Rare Holo,151_images/Jungle/Venomoth_base2-13.jpg
base2-14,Victreebel,Jungle,Rare Holo,151_images/Jungle/Victreebel_base2-14.jpg
base2-15,Vileplume,Jungle,Rare Holo,151_images/Jungle/Vileplume_base2-15.jpg
base2-16,Wigglytuff,Jungle,Rare Holo,151_images/Jungle/Wigglytuff_base2-16.jpg
base2-17,Clefable,Jungle,Rare,151_images/Jungle/Clefable_base2-17.jpg
base2-18,Electrode,Jungle,Rare,151_images/Jungle/Electrode_base2-18.jpg
base2-19,Flareon,Jungle,Rare,151_images/Jungle/Flareon_base2-19.jpg
base2-20,Jolteon,Jungle,Rare,151_images/Jungle/Jolteon_base2-20.jpg
base2-21,Kangaskhan,Jungle,Rare,151_images/Jungle/Kangaskhan_base2-21.jpg
base2-22,Mr. Mime,Jungle,Rare,151_images/Jungle/Mr. Mime_base2-22.jpg
base2-23,Nidoqueen,Jungle,Rare,151_images/Jungle/Nidoqueen_base2-23.jpg
